frame,track_id,x1,y1,x2,y2,xc,yc,w,h,conf
mit_ipswich_545246_slow_frame_000143,7,59,149,150,176,104.91,162.97,91.36,27.32,0.6361
mit_ipswich_545246_slow_frame_000146,9,295,144,318,164,306.81,154.31,23.15,19.48,0.4196
mit_ipswich_545246_slow_frame_000147,10,289,146,318,164,303.77,155.4,28.92,18.7,0.5795
mit_ipswich_545246_slow_frame_000153,11,233,145,318,179,275.93,162.52,84.18,33.23,0.3382
mit_ipswich_545246_slow_frame_000154,12,224,145,318,180,271.28,163.08,93.46,34.7,0.4595
mit_ipswich_545246_slow_frame_000156,7,1,149,76,177,39.02,163.57,74.55,27.5,0.3725
mit_ipswich_545246_slow_frame_000157,7,0,148,68,178,34.86,163.68,68.2,30.27,0.7766
mit_ipswich_545246_slow_frame_000158,7,0,145,60,179,30.65,162.73,60.54,33.71,0.7703
mit_ipswich_545246_slow_frame_000159,7,0,143,54,178,27.46,160.73,53.59,34.64,0.7423
mit_ipswich_545246_slow_frame_000165,13,21,118,108,149,64.97,134.21,87.65,30.8,0.5508
mit_ipswich_545246_slow_frame_000166,14,15,119,108,149,61.75,134.95,92.55,29.95,0.4126
mit_ipswich_545246_slow_frame_000168,14,3,120,87,150,45.76,135.57,84.33,30.48,0.571
mit_ipswich_545246_slow_frame_000169,14,1,121,80,152,40.78,136.75,78.46,31.07,0.7087
mit_ipswich_545246_slow_frame_000172,14,1,120,52,148,26.94,134.48,51.78,27.49,0.5637
mit_ipswich_545246_slow_frame_000173,14,1,121,45,148,23.55,135.24,43.57,27.17,0.7429
mit_ipswich_545246_slow_frame_000174,14,1,122,38,147,20.04,135.18,36.72,25.01,0.4244
mit_ipswich_545246_slow_frame_000178,15,44,135,152,170,98.39,153.39,108.77,35.05,0.4248
mit_ipswich_545246_slow_frame_000179,16,37,134,145,169,91.55,151.99,108.36,35.18,0.7993
mit_ipswich_545246_slow_frame_000180,16,27,134,135,170,81.38,152.12,107.62,35.8,0.7675
mit_ipswich_545246_slow_frame_000181,16,21,134,123,169,72.62,152.04,102.41,35.03,0.7849
mit_ipswich_545246_slow_frame_000182,16,15,133,118,170,66.94,151.82,102.13,36.71,0.8338
mit_ipswich_545246_slow_frame_000183,16,10,135,107,170,59.06,153.24,96.66,34.64,0.8168
mit_ipswich_545246_slow_frame_000184,16,6,136,101,172,53.62,154.3,94.98,35.73,0.8233
mit_ipswich_545246_slow_frame_000185,16,3,137,96,172,49.86,154.98,92.3,35.37,0.8136
mit_ipswich_545246_slow_frame_000186,16,1,140,81,174,41.19,157.22,79.87,33.87,0.843
mit_ipswich_545246_slow_frame_000187,16,0,141,73,174,36.96,158.34,72.37,33.18,0.8518
mit_ipswich_545246_slow_frame_000188,16,0,142,68,175,34.44,158.69,67.15,32.81,0.8399
mit_ipswich_545246_slow_frame_000189,16,0,141,63,174,32.16,158.34,62.38,33.02,0.7979
mit_ipswich_545246_slow_frame_000190,16,1,139,55,174,28.19,157.27,53.9,35.42,0.7225
mit_ipswich_545246_slow_frame_000191,16,1,136,48,174,24.99,155.43,46.63,37.5,0.7569
mit_ipswich_545246_slow_frame_000192,16,2,135,36,172,19.44,154.09,34.67,36.19,0.7305
mit_ipswich_545246_slow_frame_000193,17,237,111,317,145,277.8,128.5,80.07,33.71,0.2818
mit_ipswich_545246_slow_frame_000194,16,1,137,26,167,14.13,152.47,25.12,30.72,0.6593
mit_ipswich_545246_slow_frame_000202,18,20,115,131,153,75.87,134.32,111.48,37.83,0.8116
mit_ipswich_545246_slow_frame_000203,19,5,116,114,153,59.94,134.7,108.61,37.28,0.8344
mit_ipswich_545246_slow_frame_000205,19,2,116,63,151,33.26,134.38,61.27,34.77,0.356
mit_ipswich_545246_slow_frame_000206,19,2,116,34,148,18.34,132.75,32.21,31.76,0.6233
